Date,Event,Distance,Entered?,Result,Position
06-Sep-2009,<a href='http://www.middlesexaa.org.uk/'>Middlesex 10k</a>,10k,Yes,15:14:00,66/263
20-Sep-2009,<a href='http://www.racenewforest.co.uk/'>New Forest middle distance</a>,1.9k/90k/21k,Yes,5:34:11,51/313
26-Sep-2009,<a href='http://www.allabouttriathlons.co.uk/'>Xtreme Terrain Aquathon</a>,1.5k/10k,Yes,1:17:20,23/51
18-Oct-2009,<a href='http://www.ukcyclingevents.co.uk/'>South Downs Cyclosportive</a>,170k,Yes,6:10:53,Gold
08-Nov-2009,<a href='http://www.marathon06.com/AN/index.htm'>Marathon French Riviera</a>,42.2k,Yes,3:13:46,778/7875
15-Nov-2009,<a href='http://www.gosportroadrunners.org.uk/half.php'>Gosport 1/2 Marathon</a>,21.1k,Yes,1:38:10,410/1211
23-Jan-2010,<a href='http://www.dolomitensport-lienz.com/cross-country-ski-race-description.html'>Dolomitenlauf (xc-ski race)</a>,42k,Yes,4:48:04,457/459
11-Apr-2010,<a href='http://www.big-cow.com/public/events.aspx'>Big Cow Emberton Duathlon</a>,10k/40k/5k,Yes,2:13:14,151/391
17-Apr-2010,<a href='http://www.swimathon.org/'>Swimathon</a>,5k,Yes,1:39:00,N/A
02-May-2010,<a href='http://www.cambridgetriathlonclub.com/forum/viewtopic.php?f=14&t=35'>Cambridge Duathlon</a>,7.5k/40k/7.5k,Yes,2:15:54,70/249
23-May-2010,<a href='http://www.novecolli.it/'>Nove Colli</a>,208k,Yes,7:42:23,924/3492
29-May-2010,<a href='http://www.tourofwessex.com/'>Tour of Wessex</a>,525k,Yes,21:48:55,148/277
20-Jun-2010,<a href='http://ironmanuk.com/ironman-uk-703'>Ironman UK 70.3</a>,1.9k/90k/21.1k,Yes,5:19:25,71/1081
04-Jul-2010,<a href='http://www.big-cow.com/public/events.aspx'>Big Cow Cowman</a>,1.9k/92k/21k,Yes,5:04:35,59/403
25-Jul-2010,<a href='http://london.triathlon.org/'>ITU Age Group London</a>,1.5k/40k/10k,Yes,2:12:50,83/998
